,road_name,lat,long
103,광나루로 184,37.5508602334419,127.050436462226
104,살곶이  8길 22,37.5563012473364,127.04297558257
105,용마산로 111 앞 횡단보도,37.5635945424938,127.086643404936
106,동일로 196(모텔딥),37.5494402929169,127.068447973845
107,동일로22길 96(모던통닭 옆 골목),37.540935406818,127.069367021329
108,동일로22길 48(부대찌개 앞),37.5417481997999,127.066865743436
109,동일로22길 25(CU 편의점 앞),37.5423181337586,127.065811322437
110,동일로22길 17(소두마리 앞),37.5424724629283,127.065346283133
111,자양로 106(미가로 조형물 광장),37.5371471756586,127.083908953676
112,자양로18길 16(생오리닭 골목),37.537514785082,127.084412753119
113,자양로18길 41(경성주막 앞),37.5380860066115,127.085929228496
114,자양로18길 53(편의점 앞),37.5381830731146,127.08638373915
115,자양로18길 78(공영주차장 앞),37.5382711792426,127.087865052886
